,service,online,timestamp
297,premium,False,06/05/2022 15:38
298,one week fast track,Busy,06/05/2022 16:14
299,premium,True,06/05/2022 16:14
300,one week fast track,True,06/05/2022 16:43
301,premium,True,06/05/2022 16:43
302,one week fast track,Busy,06/05/2022 17:19
303,premium,True,06/05/2022 17:19
304,one week fast track,True,06/05/2022 17:59
305,premium,True,06/05/2022 17:59
306,one week fast track,True,06/05/2022 18:27
307,premium,True,06/05/2022 18:27
308,one week fast track,False,06/05/2022 18:45
309,premium,True,06/05/2022 18:45
310,one week fast track,False,06/05/2022 19:18
311,premium,True,06/05/2022 19:18
312,one week fast track,False,06/05/2022 19:45
313,premium,True,06/05/2022 19:45
314,one week fast track,False,06/05/2022 20:11
315,premium,True,06/05/2022 20:11
316,one week fast track,False,06/05/2022 20:35
317,premium,True,06/05/2022 20:35
318,one week fast track,False,06/05/2022 21:14
319,premium,False,06/05/2022 21:14
320,one week fast track,False,06/05/2022 21:39
321,premium,False,06/05/2022 21:39
322,one week fast track,False,06/05/2022 22:12
323,premium,False,06/05/2022 22:12
324,one week fast track,False,06/05/2022 22:37
325,premium,False,06/05/2022 22:37
326,one week fast track,False,06/05/2022 23:13
327,premium,False,06/05/2022 23:13
328,one week fast track,False,06/05/2022 23:39
329,premium,False,06/05/2022 23:39
330,one week fast track,False,07/05/2022 00:13
331,premium,False,07/05/2022 00:13
332,one week fast track,False,07/05/2022 00:38
333,premium,False,07/05/2022 00:38
334,one week fast track,False,07/05/2022 01:59
335,premium,False,07/05/2022 01:59
336,one week fast track,False,07/05/2022 03:39
337,premium,False,07/05/2022 03:39
338,one week fast track,False,07/05/2022 04:31
339,premium,False,07/05/2022 04:31
340,one week fast track,False,07/05/2022 05:15
341,premium,False,07/05/2022 05:15
342,one week fast track,False,07/05/2022 05:47
343,premium,False,07/05/2022 05:47
344,one week fast track,False,07/05/2022 06:11
345,premium,False,07/05/2022 06:11
346,one week fast track,False,07/05/2022 06:36
347,premium,False,07/05/2022 06:36
348,one week fast track,False,07/05/2022 07:16
349,premium,False,07/05/2022 07:16
350,one week fast track,False,07/05/2022 07:45
351,premium,False,07/05/2022 07:45
352,one week fast track,False,07/05/2022 08:12
353,premium,False,07/05/2022 08:12
354,one week fast track,False,07/05/2022 08:36
355,premium,False,07/05/2022 08:36
356,one week fast track,False,07/05/2022 09:16
357,premium,False,07/05/2022 09:16
358,one week fast track,False,07/05/2022 09:43
359,premium,False,07/05/2022 09:43
360,one week fast track,False,07/05/2022 10:12
361,premium,False,07/05/2022 10:12
362,one week fast track,False,07/05/2022 10:38
363,premium,False,07/05/2022 10:38
364,one week fast track,False,07/05/2022 11:14
365,premium,False,07/05/2022 11:14
366,one week fast track,False,07/05/2022 11:40
367,premium,False,07/05/2022 11:40
368,one week fast track,False,07/05/2022 12:11
369,premium,False,07/05/2022 12:11
370,one week fast track,False,07/05/2022 12:35
371,premium,False,07/05/2022 12:35
372,one week fast track,False,07/05/2022 13:22
373,premium,False,07/05/2022 13:22
374,one week fast track,False,07/05/2022 13:59
375,premium,False,07/05/2022 13:59
376,one week fast track,False,07/05/2022 14:30
377,premium,False,07/05/2022 14:30
378,one week fast track,False,07/05/2022 14:44
379,premium,False,07/05/2022 14:44
380,one week fast track,False,07/05/2022 15:12
381,premium,False,07/05/2022 15:12
382,one week fast track,False,07/05/2022 15:36
383,premium,False,07/05/2022 15:36
384,one week fast track,False,07/05/2022 16:13
385,premium,False,07/05/2022 16:13
386,one week fast track,False,07/05/2022 16:41
387,premium,False,07/05/2022 16:41
388,one week fast track,False,07/05/2022 17:17
389,premium,False,07/05/2022 17:17
390,one week fast track,False,07/05/2022 17:53
391,premium,False,07/05/2022 17:53
392,one week fast track,False,07/05/2022 18:15
393,premium,False,07/05/2022 18:15
394,one week fast track,False,07/05/2022 18:39
395,premium,False,07/05/2022 18:39
396,one week fast track,False,07/05/2022 19:15
397,premium,False,07/05/2022 19:15
398,one week fast track,False,07/05/2022 19:43
399,premium,False,07/05/2022 19:43
400,one week fast track,False,07/05/2022 20:12
401,premium,False,07/05/2022 20:12
402,one week fast track,False,07/05/2022 20:36
403,premium,False,07/05/2022 20:36
404,one week fast track,False,07/05/2022 21:13
405,premium,False,07/05/2022 21:13
406,one week fast track,False,07/05/2022 21:38
407,premium,False,07/05/2022 21:38
408,one week fast track,False,07/05/2022 22:12
409,premium,False,07/05/2022 22:12
410,one week fast track,False,07/05/2022 22:37
411,premium,False,07/05/2022 22:37
412,one week fast track,False,07/05/2022 23:12
413,premium,False,07/05/2022 23:12
414,one week fast track,False,07/05/2022 23:38
415,premium,False,07/05/2022 23:38
416,one week fast track,False,08/05/2022 00:13
417,premium,False,08/05/2022 00:13
418,one week fast track,False,08/05/2022 00:38
419,premium,False,08/05/2022 00:38
420,one week fast track,False,08/05/2022 02:01
421,premium,False,08/05/2022 02:01
422,one week fast track,False,08/05/2022 04:03
423,premium,False,08/05/2022 04:03
424,one week fast track,False,08/05/2022 04:54
425,premium,False,08/05/2022 04:54
426,one week fast track,False,08/05/2022 05:18
427,premium,False,08/05/2022 05:18
428,one week fast track,False,08/05/2022 05:49
429,premium,False,08/05/2022 05:49
430,one week fast track,False,08/05/2022 06:12
431,premium,False,08/05/2022 06:12
432,one week fast track,False,08/05/2022 06:36
433,premium,False,08/05/2022 06:36
434,one week fast track,False,08/05/2022 07:16
435,premium,False,08/05/2022 07:16
436,one week fast track,False,08/05/2022 07:46
437,premium,False,08/05/2022 07:46
438,one week fast track,False,08/05/2022 08:13
439,premium,False,08/05/2022 08:13
440,one week fast track,False,08/05/2022 08:36
441,premium,False,08/05/2022 08:36
442,one week fast track,False,08/05/2022 09:16
443,premium,False,08/05/2022 09:16
444,one week fast track,False,08/05/2022 09:42
445,premium,False,08/05/2022 09:42
446,one week fast track,False,08/05/2022 10:13
447,premium,False,08/05/2022 10:13
448,one week fast track,False,08/05/2022 10:38
449,premium,False,08/05/2022 10:38
450,one week fast track,False,08/05/2022 11:14
451,premium,False,08/05/2022 11:14
452,one week fast track,False,08/05/2022 11:40
453,premium,False,08/05/2022 11:40
454,one week fast track,False,08/05/2022 12:11
455,premium,False,08/05/2022 12:11
456,one week fast track,False,08/05/2022 12:35
457,premium,False,08/05/2022 12:35
458,one week fast track,False,08/05/2022 13:21
459,premium,False,08/05/2022 13:21
460,one week fast track,False,08/05/2022 13:59
461,premium,False,08/05/2022 13:59
462,one week fast track,False,08/05/2022 14:30
463,premium,False,08/05/2022 14:30
464,one week fast track,False,08/05/2022 15:12
465,premium,False,08/05/2022 15:12
466,one week fast track,False,08/05/2022 15:37
467,premium,False,08/05/2022 15:37
468,one week fast track,False,08/05/2022 16:13
469,premium,False,08/05/2022 16:13
470,one week fast track,False,08/05/2022 16:41
471,premium,False,08/05/2022 16:41
472,one week fast track,False,08/05/2022 17:17
473,premium,False,08/05/2022 17:17
474,one week fast track,False,08/05/2022 17:53
475,premium,False,08/05/2022 17:53
476,one week fast track,False,08/05/2022 18:15
477,premium,False,08/05/2022 18:15
478,one week fast track,False,08/05/2022 18:39
479,premium,False,08/05/2022 18:39
480,one week fast track,False,08/05/2022 19:15
481,premium,False,08/05/2022 19:15
482,one week fast track,False,08/05/2022 19:43
483,premium,False,08/05/2022 19:43
484,one week fast track,False,08/05/2022 20:11
485,premium,False,08/05/2022 20:11
486,one week fast track,False,08/05/2022 20:34
487,premium,False,08/05/2022 20:34
488,one week fast track,False,08/05/2022 21:13
489,premium,False,08/05/2022 21:13
490,one week fast track,False,08/05/2022 21:38
491,premium,False,08/05/2022 21:38
492,one week fast track,False,08/05/2022 22:11
493,premium,False,08/05/2022 22:11
494,one week fast track,False,08/05/2022 22:37
495,premium,False,08/05/2022 22:37
496,one week fast track,False,08/05/2022 23:12
497,premium,False,08/05/2022 23:12
498,one week fast track,False,08/05/2022 23:38
499,premium,False,08/05/2022 23:38
500,one week fast track,False,09/05/2022 00:13
501,premium,False,09/05/2022 00:13
502,one week fast track,False,09/05/2022 00:38
503,premium,False,09/05/2022 00:38
504,one week fast track,False,09/05/2022 02:04
505,premium,False,09/05/2022 02:04
506,one week fast track,False,09/05/2022 04:09
507,premium,False,09/05/2022 04:09
508,one week fast track,False,09/05/2022 05:03
509,premium,False,09/05/2022 05:03
510,one week fast track,False,09/05/2022 05:56
511,premium,False,09/05/2022 05:56
512,one week fast track,False,09/05/2022 06:18
513,premium,False,09/05/2022 06:18
514,one week fast track,False,09/05/2022 06:40
515,premium,False,09/05/2022 06:40
516,one week fast track,False,09/05/2022 07:17
517,premium,False,09/05/2022 07:17
518,one week fast track,False,09/05/2022 07:47
519,premium,False,09/05/2022 07:47
520,one week fast track,False,09/05/2022 08:13
521,premium,False,09/05/2022 08:13
522,one week fast track,False,09/05/2022 08:37
523,premium,False,09/05/2022 08:37
524,one week fast track,False,09/05/2022 09:17
525,premium,False,09/05/2022 09:17
526,one week fast track,True,09/05/2022 09:45
527,premium,False,09/05/2022 09:45
528,one week fast track,True,09/05/2022 10:19
529,premium,False,09/05/2022 10:19
530,one week fast track,Busy,09/05/2022 10:40
531,premium,False,09/05/2022 10:40
532,one week fast track,False,09/05/2022 11:16
533,premium,False,09/05/2022 11:16
534,one week fast track,Busy,09/05/2022 11:44
535,premium,False,09/05/2022 11:44
536,one week fast track,False,09/05/2022 12:12
537,premium,False,09/05/2022 12:12
538,one week fast track,False,09/05/2022 12:36
539,premium,False,09/05/2022 12:36
540,one week fast track,False,09/05/2022 13:27
541,premium,False,09/05/2022 13:27
542,one week fast track,False,09/05/2022 14:08
543,premium,False,09/05/2022 14:08
544,one week fast track,False,09/05/2022 14:53
545,premium,False,09/05/2022 14:53
546,one week fast track,False,09/05/2022 15:12
547,premium,False,09/05/2022 15:12
548,one week fast track,False,09/05/2022 15:37
549,premium,False,09/05/2022 15:37
550,one week fast track,False,09/05/2022 16:14
551,premium,False,09/05/2022 16:14
552,one week fast track,False,09/05/2022 16:43
553,premium,False,09/05/2022 16:43
554,one week fast track,False,09/05/2022 17:21
555,premium,False,09/05/2022 17:21
556,one week fast track,False,09/05/2022 18:01
557,premium,False,09/05/2022 18:01
558,one week fast track,False,09/05/2022 18:44
559,premium,False,09/05/2022 18:44
560,one week fast track,False,09/05/2022 19:16
561,premium,False,09/05/2022 19:16
562,one week fast track,False,09/05/2022 19:45
563,premium,False,09/05/2022 19:45
564,one week fast track,False,09/05/2022 20:11
565,premium,False,09/05/2022 20:11
566,one week fast track,False,09/05/2022 20:36
567,premium,False,09/05/2022 20:36
568,one week fast track,False,09/05/2022 21:14
569,premium,False,09/05/2022 21:14
570,one week fast track,False,09/05/2022 21:39
571,premium,False,09/05/2022 21:39
572,one week fast track,False,09/05/2022 22:12
573,premium,False,09/05/2022 22:12
574,one week fast track,False,09/05/2022 22:38
575,premium,False,09/05/2022 22:38
576,one week fast track,False,09/05/2022 23:13
577,premium,False,09/05/2022 23:13
578,one week fast track,False,09/05/2022 23:39
579,premium,False,09/05/2022 23:39
580,one week fast track,False,10/05/2022 00:13
581,premium,False,10/05/2022 00:13
582,one week fast track,False,10/05/2022 00:39
583,premium,False,10/05/2022 00:39
584,one week fast track,False,10/05/2022 01:59
585,premium,False,10/05/2022 01:59
586,one week fast track,False,10/05/2022 03:24
587,premium,False,10/05/2022 03:24
588,one week fast track,False,10/05/2022 04:05
589,premium,False,10/05/2022 04:05
590,one week fast track,False,10/05/2022 04:48
591,premium,False,10/05/2022 04:48
592,one week fast track,False,10/05/2022 05:17
593,premium,False,10/05/2022 05:17
594,one week fast track,False,10/05/2022 05:49
595,premium,False,10/05/2022 05:49
596,one week fast track,False,10/05/2022 06:13
597,premium,False,10/05/2022 06:13
598,one week fast track,False,10/05/2022 06:38
599,premium,False,10/05/2022 06:38
600,one week fast track,False,10/05/2022 07:17
601,premium,False,10/05/2022 07:17
602,one week fast track,False,10/05/2022 07:47
603,premium,False,10/05/2022 07:47
604,one week fast track,False,10/05/2022 08:13
605,premium,False,10/05/2022 08:13
606,one week fast track,False,10/05/2022 08:37
607,premium,False,10/05/2022 08:37
608,one week fast track,False,10/05/2022 09:17
609,premium,False,10/05/2022 09:17
610,one week fast track,False,10/05/2022 09:43
611,premium,False,10/05/2022 09:43
612,one week fast track,False,10/05/2022 10:14
613,premium,False,10/05/2022 10:14
614,one week fast track,False,10/05/2022 10:40
615,premium,False,10/05/2022 10:40
616,one week fast track,False,10/05/2022 11:14
617,premium,False,10/05/2022 11:14
618,one week fast track,False,10/05/2022 11:41
619,premium,False,10/05/2022 11:41
620,one week fast track,False,10/05/2022 12:12
621,premium,False,10/05/2022 12:12
622,one week fast track,False,10/05/2022 12:36
623,premium,False,10/05/2022 12:36
624,one week fast track,Busy,10/05/2022 13:28
625,premium,True,10/05/2022 13:28
626,one week fast track,True,10/05/2022 14:27
627,premium,False,10/05/2022 14:27
